0,0.000,0.000,1.000
1,0.031,0.031,1.000
2,0.063,0.063,1.000
3,0.094,0.094,1.000
4,0.125,0.125,1.000
5,0.157,0.157,1.000
6,0.188,0.188,1.000
7,0.220,0.220,1.000
8,0.251,0.251,1.000
9,0.282,0.282,1.000
10,0.314,0.314,1.000
11,0.345,0.345,1.000
12,0.376,0.376,1.000
13,0.408,0.408,1.000
14,0.439,0.439,1.000
15,0.471,0.471,1.000
16,0.510,0.510,1.000
17,0.541,0.541,1.000
18,0.573,0.573,1.000
19,0.604,0.604,1.000
20,0.635,0.635,1.000
21,0.667,0.667,1.000
22,0.698,0.698,1.000
23,0.729,0.729,1.000
24,0.761,0.761,1.000
25,0.792,0.792,1.000
26,0.824,0.824,1.000
27,0.855,0.855,1.000
28,0.886,0.886,1.000
29,0.918,0.918,1.000
30,0.949,0.949,1.000
31,0.980,0.980,1.000
32,1.000,0.980,0.980
33,1.000,0.949,0.949
34,1.000,0.918,0.918
35,1.000,0.886,0.886
36,1.000,0.855,0.855
37,1.000,0.824,0.824
38,1.000,0.792,0.792
39,1.000,0.761,0.761
40,1.000,0.729,0.729
41,1.000,0.698,0.698
42,1.000,0.667,0.667
43,1.000,0.635,0.635
44,1.000,0.604,0.604
45,1.000,0.573,0.573
46,1.000,0.541,0.541
47,1.000,0.510,0.510
48,1.000,0.471,0.471
49,1.000,0.439,0.439
50,1.000,0.408,0.408
51,1.000,0.376,0.376
52,1.000,0.345,0.345
53,1.000,0.314,0.314
54,1.000,0.282,0.282
55,1.000,0.251,0.251
56,1.000,0.220,0.220
57,1.000,0.188,0.188
58,1.000,0.157,0.157
59,1.000,0.125,0.125
60,1.000,0.094,0.094
61,1.000,0.063,0.063
62,1.000,0.031,0.031
63,1.000,0.000,0.000
