0.00000, 0.000,0.000,0.500
0.00016, 0.000,0.000,0.571
0.00032, 0.000,0.000,0.643
0.00048, 0.000,0.000,0.714
0.00063, 0.000,0.000,0.785
0.00079, 0.000,0.000,0.857
0.00095, 0.000,0.000,0.928
0.00111, 0.000,0.000,0.999
0.00127, 0.000,0.002,1.000
0.00143, 0.000,0.065,1.000
0.00159, 0.000,0.127,1.000
0.00175, 0.000,0.190,1.000
0.00190, 0.000,0.253,1.000
0.00206, 0.000,0.316,1.000
0.00222, 0.000,0.378,1.000
0.00238, 0.000,0.441,1.000
0.00254, 0.000,0.520,1.000
0.00270, 0.000,0.582,1.000
0.00286, 0.000,0.645,1.000
0.00302, 0.000,0.708,1.000
0.00317, 0.000,0.771,1.000
0.00333, 0.000,0.833,1.000
0.00349, 0.000,0.896,0.971
0.00365, 0.047,0.959,0.920
0.00381, 0.098,1.000,0.870
0.00397, 0.149,1.000,0.819
0.00413, 0.199,1.000,0.769
0.00429, 0.250,1.000,0.718
0.00444, 0.300,1.000,0.667
0.00460, 0.351,1.000,0.617
0.00476, 0.402,1.000,0.566
0.00492, 0.452,1.000,0.515
0.00508, 0.515,1.000,0.452
0.00524, 0.566,1.000,0.402
0.00540, 0.617,1.000,0.351
0.00556, 0.667,1.000,0.300
0.00571, 0.718,1.000,0.250
0.00587, 0.769,1.000,0.199
0.00603, 0.819,1.000,0.149
0.00619, 0.870,1.000,0.098
0.00635, 0.920,1.000,0.047
0.00651, 0.971,0.959,0.000
0.00667, 1.000,0.901,0.000
0.00683, 1.000,0.843,0.000
0.00698, 1.000,0.785,0.000
0.00714, 1.000,0.727,0.000
0.00730, 1.000,0.669,0.000
0.00746, 1.000,0.611,0.000
0.00762, 1.000,0.538,0.000
0.00778, 1.000,0.480,0.000
0.00794, 1.000,0.422,0.000
0.00810, 1.000,0.364,0.000
0.00825, 1.000,0.306,0.000
0.00841, 1.000,0.248,0.000
0.00857, 1.000,0.190,0.000
0.00873, 1.000,0.131,0.000
0.00889, 0.999,0.073,0.000
0.00905, 0.928,0.015,0.000
0.00921, 0.857,0.000,0.000
0.00937, 0.785,0.000,0.000
0.00952, 0.714,0.000,0.000
0.00968, 0.643,0.000,0.000
0.00984, 0.571,0.000,0.000
0.01000, 0.500,0.000,0.000
